,price,longitude,latitude,neighborhood
1290,1900,-73.80113100000001,40.733573,Pomonok_Flushing_Heights_Hillcrest
1291,1353,-73.94977,40.677652,Crown_Heights_North
1292,760,-73.890599,40.864795,Bedford_Park_Fordham_North
1293,550,-73.668995,41.003885,None
1294,700,-73.93423299999998,40.667602,Crown_Heights_North
1295,530,-73.8736,40.6762,East_New_York
1296,1325,-73.904831,40.706774,Ridgewood
1297,900,-73.942,40.8382,Washington_Heights_South
1298,800,-73.749523,40.749056,Oakland_Gardens
1299,1300,-73.9149,40.7627,Astoria
1300,950,-73.9496,40.6794,Crown_Heights_North
1301,1000,-73.9149,40.7627,Astoria
1302,1000,-73.9149,40.7627,Astoria
1303,1353,-73.94977,40.677652,Crown_Heights_North
1304,1350,-73.9498,40.7272,Greenpoint
1305,1650,-74.0469,40.7221,None
1306,1000,-73.8611,40.7453,Corona
1307,1075,-73.8961,40.7036,Ridgewood
1308,625,-73.0464,40.9136,None
1309,1250,-73.945627,40.711728,East_Williamsburg
1310,1150,-73.944426,40.7931,East_Harlem_South
1311,900,-74.0878,40.6102,Grymes_Hill_Clifton_Fox_Hills
1312,1115,-73.935602,40.848966,Washington_Heights_South
1313,1250,-73.819,40.6744,South_Ozone_Park
1314,500,-73.9588,40.7685,Lenox_Hill_Roosevelt_Island
1315,700,-73.7401,40.709,Queens_Village
1316,800,-73.7944,40.7119,Briarwood_Jamaica_Hills
1317,1125,-73.93547099999998,40.849145,Washington_Heights_North
1318,1200,-73.95455600000003,40.686604,Bedford
1319,1190,-73.922324,40.681875,Stuyvesant_Heights
1320,1000,-73.9149,40.7627,Astoria
1321,1875,-73.9149,40.7627,Astoria
1322,1353,-73.992238,40.666133,Park_Slope_Gowanus
1323,1353,-73.992238,40.666133,Park_Slope_Gowanus
1324,2200,-74.002523,40.739753,Hudson_Yards_Chelsea_Flatiron_Union_Square
1325,1040,-73.917303,40.70026,Bushwick_North
1326,699,-73.932238,40.693557,Stuyvesant_Heights
1327,1150,-73.947194,40.709141,East_Williamsburg
1328,700,-73.928987,40.593867,Sheepshead_Bay_Gerritsen_Beach_Manhattan_Beach
1329,1275,-73.958158,40.694777,Bedford
1330,1100,-73.9436,40.7012,Bedford
1331,1060,-73.920629,40.685861,Stuyvesant_Heights
1332,1625,-73.98142800000002,40.728944,East_Village
1333,900,-73.925389,40.70281,Bushwick_North
1334,1125,-73.94228000000003,40.716135,East_Williamsburg
1335,875,-73.908247,40.704593,Ridgewood
1336,1360,-73.930127,40.703962,Bushwick_North
1337,2800,-73.9781,40.7443,Murray_Hill_Kips_Bay
1338,2500,-73.9781,40.7443,Murray_Hill_Kips_Bay
1339,1035,-73.91335,40.701829,Bushwick_North
1340,950,-73.959964,40.659611,Prospect_Lefferts_Gardens_Wingate
1341,1115,-73.93547099999998,40.849145,Washington_Heights_North
1342,2000,-74.0054,40.7339,West_Village
1343,1150,-73.95089300000002,40.663126,Prospect_Lefferts_Gardens_Wingate
1344,900,-73.7588,40.7428,Oakland_Gardens
1345,1050,-73.959124,40.674481,Crown_Heights_North
1346,1050,-73.959274,40.674563,Crown_Heights_North
1347,1250,-73.991309,40.716023,Chinatown
1348,1000,-73.9149,40.7627,Astoria
1349,1200,-76.0044,41.1963,None
1350,750,-73.922446,40.67705,Crown_Heights_North
1351,1000,-73.9149,40.7627,Astoria
1352,550,-73.946264,40.778092,Yorkville
1353,1600,-73.938739,40.699049,Bushwick_South
1354,1000,-73.9149,40.7627,Astoria
1355,1000,-73.9149,40.7627,Astoria
1356,3800,-73.7968,40.7606,East_Flushing
1357,1115,-73.93547099999998,40.849145,Washington_Heights_North
1358,1000,-73.9149,40.7627,Astoria
1359,1115,-73.9356,40.8496,Washington_Heights_North
1360,1000,-73.9149,40.7627,Astoria
1361,1200,-73.93888000000003,40.713168,East_Williamsburg
1362,800,-73.938668,40.68534,Bedford
1363,999,-73.92969599999998,40.69012,Stuyvesant_Heights
1364,850,-73.934431,40.670773,Crown_Heights_North
1365,650,-73.934431,40.670773,Crown_Heights_North
1366,600,-73.954975,40.688711,Bedford
1367,1150,-73.938668,40.68534,Bedford
1368,600,-73.8585,40.6913,Woodhaven
1369,800,-74.0474,41.1158,None
1370,1850,-73.96843100000002,40.764788,Upper_East_Side_Carnegie_Hill
1371,950,-73.909617,40.775366,Steinway
1372,1200,-76.0044,41.1963,None
1373,1725,-73.9858,40.7651,Clinton
1374,1000,-73.9644,40.679,Prospect_Heights
1375,1300,-73.948685,40.797233,East_Harlem_South
1376,900,-73.9828,40.6669,Park_Slope_Gowanus
1377,1100,-73.9274,40.6907,Stuyvesant_Heights
1378,850,-73.9274,40.6907,Stuyvesant_Heights
1379,700,-73.936126,40.84355,Washington_Heights_South
1380,1100,-73.942713,40.817212,Central_Harlem_North_Polo_Grounds
1381,1100,-73.94251700000002,40.81714,Central_Harlem_North_Polo_Grounds
1382,850,-73.956007,40.693899,Bedford
1383,850,-73.938088,40.824553,Central_Harlem_North_Polo_Grounds
1384,1500,-73.982564,40.731361,Gramercy
1385,1115,-73.935602,40.848966,Washington_Heights_South
1386,650,-73.9129,40.852,University_Heights_Morris_Heights
1387,1100,-73.85011899999998,40.732163,Forest_Hills
1388,1100,-73.935928,40.854353,Washington_Heights_North
1389,500,-73.9129,40.852,University_Heights_Morris_Heights
1390,800,-73.758,40.6006,Far_Rockaway_Bayswater
1391,1100,-73.84921800000002,40.73235800000001,Forest_Hills
1392,870,-73.943,41.1183,None
1393,1090,-73.95320600000002,40.679832,Crown_Heights_North
1394,1100,-73.892562,40.661127,East_New_York__Pennsylvania_Ave_
1395,1400,-73.9796,40.7262,Lower_East_Side
1396,1850,-74.0018,40.6521,Sunset_Park_East
1397,1095,-73.952236,40.759741,Lenox_Hill_Roosevelt_Island
1398,1100,-73.892562,40.661127,East_New_York__Pennsylvania_Ave_
1399,1100,-73.956007,40.693899,Bedford
1400,1100,-73.849368,40.732121,Forest_Hills
1401,1050,-73.9211,40.6784,Stuyvesant_Heights
1402,675,-73.91314,40.686652,Bushwick_South
1403,1000,-73.89399999999999,40.6705,East_New_York__Pennsylvania_Ave_
1404,750,-73.89483100000002,40.667833,East_New_York__Pennsylvania_Ave_
1405,500,-73.89250899999998,40.741284,Elmhurst_Maspeth
1406,800,-73.914992,40.763892,Astoria
1407,950,-73.914992,40.763892,Astoria
1408,1275,-73.9498,40.7272,Greenpoint
1409,550,-73.957,40.6467,Erasmus
1410,650,-74.170037,40.609144,New_Springville_Bloomfield_Travis
1411,1500,-74.0754,40.718,None
1412,1825,-73.973619,40.795424,Upper_West_Side
1413,1300,-73.711288,40.790644,None
1414,1480,-73.9967,40.7484,Hudson_Yards_Chelsea_Flatiron_Union_Square
1415,1400,-73.994922,40.755292,Hudson_Yards_Chelsea_Flatiron_Union_Square
1416,850,-73.9436,40.7012,Bedford
1417,1200,-73.945,40.6451,East_Flatbush_Farragut
1418,1025,-73.93675400000002,40.814072,Central_Harlem_North_Polo_Grounds
1419,500,-74.1964,40.736999999999995,None
1420,1300,-74.0469,40.7221,None
1421,1115,-73.935602,40.848966,Washington_Heights_South
1422,700,-73.8495,40.8702,Allerton_Pelham_Gardens
1423,2500,-73.950434,40.78654,East_Harlem_South
1424,1500,-74.013313,40.225896,None
1425,1500,-74.013313,40.225896,None
1426,880,-73.9563,40.7095,North_Side_South_Side
1427,700,-73.9507,40.8246,Hamilton_Heights
1428,1450,-73.915418,40.699661,Bushwick_North
1429,1000,-74.074609,40.727015,None
1430,1300,-73.91094,40.687699,Bushwick_South
1431,1550,-74.003297,40.728713,West_Village
